	POPI			POPI		
C32	0.251	0.035	C22	0.212	0.037	
C33	0.236	0.039	C23	0.256	0.035	
C34	0.279	0.034	C24	0.244	0.037	
C35	0.278	0.035	C25	0.253	0.036	
C36	0.290	0.033	C26	0.235	0.038	
C37	0.284	0.035	C27	0.230	0.039	
C38	0.284	0.034	C28	0.167	0.044	
C39	0.274	0.036	C29	0.111	0.046	
C310	0.267	0.037	C210	0.057	0.038	
C311	0.250	0.039	C211	0.133	0.047	
C312	0.235	0.041	C212	0.191	0.044	
C313	0.209	0.044	C213	0.192	0.044	
C314	0.180	0.045	C214	0.202	0.044	
C315	0.131	0.048	C215	0.181	0.045	
C316	0.055	0.039	C216	0.163	0.046	
 	 	 	C217	0.117	0.048	
 	 	 	C218	0.054	0.038	
Av	0.233	0.017	Av	0.177	0.015	
