	DOPC			DOPC		
C32	0.259	0.033	C22	0.187	0.037	
C33	0.229	0.035	C23	0.246	0.032	
C34	0.262	0.032	C24	0.249	0.032	
C35	0.254	0.033	C25	0.258	0.032	
C36	0.251	0.034	C26	0.239	0.034	
C37	0.232	0.035	C27	0.234	0.035	
C38	0.189	0.039	C28	0.168	0.040	
C39	0.131	0.040	C29	0.116	0.043	
C310	0.093	0.041	C210	0.051	0.035	
C311	0.131	0.041	C211	0.120	0.042	
C312	0.173	0.040	C212	0.182	0.040	
C313	0.168	0.041	C213	0.184	0.040	
C314	0.172	0.041	C214	0.194	0.039	
C315	0.148	0.043	C215	0.172	0.041	
C316	0.130	0.043	C216	0.156	0.043	
C317	0.090	0.044	C217	0.112	0.044	
C318	0.047	0.034	C218	0.051	0.036	
Av	0.174	0.016	Av	0.172	0.015	
