	DOPC			DOPC		
C32	0.262	0.029	C22	0.170	0.037	
C33	0.219	0.034	C23	0.225	0.034	
C34	0.251	0.031	C24	0.225	0.035	
C35	0.238	0.033	C25	0.235	0.034	
C36	0.239	0.033	C26	0.219	0.035	
C37	0.219	0.035	C27	0.215	0.035	
C38	0.185	0.037	C28	0.155	0.040	
C39	0.133	0.039	C29	0.109	0.042	
C310	0.092	0.040	C210	0.046	0.033	
C311	0.116	0.042	C211	0.108	0.041	
C312	0.152	0.040	C212	0.163	0.039	
C313	0.145	0.040	C213	0.163	0.039	
C314	0.149	0.041	C214	0.171	0.038	
C315	0.125	0.042	C215	0.150	0.041	
C316	0.110	0.042	C216	0.135	0.041	
C317	0.079	0.041	C217	0.096	0.043	
C318	0.044	0.032	C218	0.046	0.033	
Av	0.162	0.016	Av	0.155	0.014	
