	POPI			POPI		
C32	0.255	0.030	C22	0.192	0.033	
C33	0.227	0.034	C23	0.252	0.031	
C34	0.271	0.030	C24	0.242	0.032	
C35	0.265	0.031	C25	0.253	0.031	
C36	0.280	0.030	C26	0.233	0.034	
C37	0.271	0.031	C27	0.231	0.033	
C38	0.272	0.031	C28	0.166	0.038	
C39	0.257	0.033	C29	0.118	0.040	
C310	0.250	0.034	C210	0.042	0.030	
C311	0.229	0.035	C211	0.114	0.041	
C312	0.214	0.037	C212	0.173	0.039	
C313	0.186	0.039	C213	0.174	0.038	
C314	0.158	0.041	C214	0.184	0.038	
C315	0.113	0.043	C215	0.162	0.040	
C316	0.047	0.034	C216	0.146	0.040	
 	 	 	C217	0.102	0.042	
 	 	 	C218	0.048	0.034	
Av	0.220	0.017	Av	0.167	0.015	
